#{"t_start": 1644232255.351501, "env_id": "intersectionScenario-v0"}
r,l,t
121.724323,500,3.750309
-95.840381,26,3.874055
-94.085611,25,3.955446
-95.463833,22,4.027297
-95.078713,19,4.089769
-88.95007,51,4.299252
-90.254881,38,4.422895
-74.170995,110,4.831322
-86.92288,63,5.035926
-82.312472,82,5.340147
-80.149773,93,5.67322
-97.419324,14,5.722479
-94.69038,28,5.816343
-78.46819,64,6.03183
127.34163,500,7.79682
131.083742,500,9.543656
-89.117698,53,9.752526
131.415091,500,11.464775
-60.59793,194,12.158234
110.139447,500,13.902006
-51.875036,191,14.550724
102.817467,500,16.324626
97.725861,500,18.087243
-95.623841,25,18.167275
113.472644,500,20.0122
-93.439156,44,20.192858
110.666684,500,22.34676
-92.681821,39,22.478277
-92.756708,46,22.698108
595.17867,192,23.779399
127.388889,500,25.892973
-90.923275,59,26.135093
129.15738,500,28.397819
119.720497,500,30.330045
147.153273,500,32.921086
-88.871548,53,33.147989
143.726973,500,35.216177
126.296007,500,36.968822
107.196956,500,38.742337
163.576867,500,40.638257
113.989236,500,42.752175
-88.20001,63,43.010483
-92.762757,49,43.252833
-92.70658,47,43.447315
112.914979,500,45.590686
115.659196,500,47.48828
-93.768235,41,47.618159
-90.127379,38,47.739308
95.399123,500,49.510036
96.800894,500,51.258902
121.043785,500,53.022195
-96.466795,23,53.100734
123.470944,500,54.865492
124.978542,500,56.720091
114.803422,500,58.479022
4.662959,401,60.012098
116.136216,500,62.070552
110.404961,500,64.353199
119.782494,500,66.62572
-92.688462,44,66.775015
-92.447129,47,66.969533
123.210736,500,68.86579
-91.849752,48,69.024194
-89.011511,61,69.219541
122.815234,500,71.006415
120.193017,500,72.755584
119.935001,500,74.512039
-95.553736,30,74.606808
128.373421,500,76.370327
123.475783,500,78.139235
125.850943,500,80.214818
119.43163,500,82.373389
122.197686,500,84.380191
-93.525868,38,84.587655
-88.331857,76,84.968638
124.363144,500,86.745176
121.997444,500,88.485242
122.041546,500,90.275756
-90.385539,58,90.604873
-92.697436,43,90.799353
-93.567885,41,91.045424
-92.878897,44,91.238782
120.8402,500,93.594323
124.920186,500,95.355335
-87.844358,78,95.605888
128.288509,500,97.368842
138.144229,500,99.414736
132.169481,500,101.537101
-90.886483,55,101.776465
141.523418,500,103.980004
138.884724,500,106.312488
118.850219,500,108.472899
121.578277,500,110.597863
121.753762,500,112.699882
119.689549,500,114.806018
124.444525,500,116.899543
118.994756,500,119.122303
133.474286,500,121.233842
124.106169,500,123.390821
126.076092,500,125.561317
117.017633,500,127.813471
124.880065,500,129.957574
133.792863,500,132.189151
119.207555,500,134.308959
119.436283,500,136.437489
123.02777,500,138.727115
126.035321,500,140.575156
126.912558,500,142.37415
127.941333,500,144.141058
119.976624,500,145.880955
130.999086,500,147.608149
144.094802,500,149.363631
127.385283,500,151.421793
