#{"t_start": 1644439660.110739, "env_id": "circularroadScenario-v0"}
r,l,t
483.902341,45,1.630721
-3048.167333,229,3.485758
-178.116099,14,3.627379
-75.714675,18,3.740078
-573.140603,77,4.201094
149.539051,30,4.384604
-382.968827,17,4.490322
-3222.753081,238,5.927328
5000,1,5.93877
-427.890884,41,6.19055
83.773025,20,6.316515
-3816.621702,262,7.945143
-4413.709524,300,9.766728
-3989.361519,300,11.577258
-5719.771022,300,13.416313
-3950.898186,300,15.203544
-234.74342,46,15.488966
5053.162559,35,15.715343
-61.356715,20,15.839217
-7058.599732,300,17.663733
-356.413305,69,18.091985
-606.348843,66,18.499613
-458.354955,36,18.724176
19.882088,25,18.87728
-5256.311733,300,20.876398
-6112.808351,300,22.7578
-423.614748,34,22.962255
-1157.886799,300,24.766687
-7195.148406,300,26.969425
-846.149086,94,27.652601
773.400957,95,28.350732
-4494.230229,300,30.228089
-246.940361,9,30.289588
617.468746,50,30.597847
-6071.606983,300,32.421329
-6033.87243,300,34.259746
-6685.003734,300,36.488235
-7204.867045,300,38.312052
-5288.277418,300,40.119398
324.347017,104,40.75177
-47.17855,32,40.952045
-183.764648,33,41.15564
-4447.637494,300,42.975188
-6321.207944,300,44.77575
551.440468,41,45.03718
-3799.138824,300,46.840204
-4530.894731,300,48.704965
-434.451993,27,48.870632
-4748.723581,300,50.703775
-387.900208,22,50.840305
-5000.537886,300,52.648999
-5273.239037,300,54.484544
1220.957171,82,54.988588
-4744.608038,300,56.79642
-6027.465803,300,58.619458
-417.385085,26,58.779478
10.346834,23,58.925624
-6932.325542,300,60.721565
-410.587209,18,60.829245
-7255.103606,300,62.65863
-4942.536308,300,64.537541
-4336.162395,300,66.363685
-5032.927651,300,68.494544
-450.881778,28,68.673833
-3958.853626,300,70.484635
-3735.246102,300,72.316498
-3293.962143,300,74.145407
-3949.009804,300,75.959488
-219.727277,12,76.03925
-7257.052307,300,77.873593
-3252.635074,300,79.715786
-7312.518974,300,81.562643
-4978.909775,300,83.420268
-2877.275096,300,85.410196
-3864.513823,300,87.646219
-267.488286,10,87.728999
-4391.860248,300,89.661201
