#{"t_start": 1644493568.8420126, "env_id": "intersectionScenario-v0"}
r,l,t
-3962.107946,295,4.588688
-3558.657564,500,9.509439
-688.274402,92,10.391659
-1427.970379,107,11.536705
-629.587931,39,11.908407
-1323.978936,52,12.396995
-835.992111,46,12.829486
-909.152205,40,13.210644
-3764.542188,500,18.093939
-6791.376827,500,23.160464
-3338.812528,164,24.700918
-5242.190301,362,28.24428
-4587.051056,199,30.076991
-2095.404392,127,31.278286
-823.493235,23,31.638574
-4704.168083,388,35.6891
-1032.932515,50,36.165854
-9841.296214,500,41.328006
-1857.292871,46,41.922726
-3987.489205,500,47.161346
-2344.20812,256,49.749285
-882.362127,80,50.527483
-7480.81746,336,53.806278
-6356.601679,500,58.713338
-3426.522859,183,60.418157
-3883.133117,500,65.464734
-6875.106242,500,70.754029
-6483.729847,263,73.225255
-3580.246623,500,78.2021
-3332.632848,419,82.342244
236.121524,124,83.660712
-901.630532,45,84.089015
-3217.102278,500,88.975019
-3739.231683,500,93.877769
-3877.063946,500,98.789098
-3161.630168,500,105.492311
-1341.376561,70,106.157324
-1771.180296,465,110.603541
-927.326721,40,110.981695
-19188.564014,500,115.616108
-22223.563587,500,120.230551
-3335.853432,500,125.260575
-1936.640808,500,130.126602
-3497.397109,500,135.328279
-3794.125611,500,140.370437
-20015.512121,500,145.012406
-3692.524979,500,149.917957
-4316.051035,500,154.986842
-3774.396247,144,156.312409
1736.123221,169,157.95243
984.129156,162,159.650909
-20479.666832,500,165.635825
-17728.419965,500,170.280952
-3370.175869,500,175.250864
-13.716267,57,175.785069
-2205.556579,135,177.205186
-4885.349651,124,178.334905
1571.657344,193,180.16597
-3652.307796,500,185.195197
-3818.720759,500,190.107503
-3400.053392,500,194.886658
-4172.752474,500,200.097009
-935.437386,30,200.376681
1767.701176,244,202.836811
-4793.043522,500,207.844529
-774.437967,35,208.178739
-4287.192522,500,213.097802
-3441.59986,123,214.347821
-4349.718623,500,219.267076
-3283.310643,500,225.259671
-809.460743,29,225.533885
1390.643073,100,226.487595
-3977.59763,500,231.67452
-594.623272,33,232.12787
-4171.991628,294,234.950495
-1078.356212,108,236.25666
-994.777474,46,236.837425
-125.008234,64,237.448777
-5432.266223,370,241.130614
-6221.291361,500,246.036075
-7221.181007,500,250.973117
3139.317871,191,252.788781
1904.92526,203,254.933074
-626.423406,41,255.336039
-3600.717272,500,260.774866
-667.296168,27,261.03891
-973.041144,108,262.166574
-1256.376081,59,262.723469
-4391.990633,500,267.648505
-4043.634058,500,272.551173
-5379.10079,126,273.745134
-1508.594591,77,274.632212
-4382.436971,500,279.553193
1637.794997,150,281.290907
-2002.548253,213,283.901901
-600.906757,19,284.083369
-3957.767131,500,289.130831
341.706529,192,291.333803
-795.45251,17,291.494008
76.322135,159,293.155638
-3329.609263,500,298.067117
-2576.253515,297,301.041395
-438.069223,25,301.278595
-7481.606999,500,306.04043
-3626.858866,500,310.991887
-3239.821573,500,315.925049
455.012917,165,317.62725
-258.529291,107,318.661097
-3366.13755,500,323.869579
-3476.959382,500,328.773754
-6947.287548,500,333.700138
-3567.089392,500,338.761242
-721.544623,13,338.884427
-502.831573,46,339.319132
-7158.658906,500,345.053015
-4123.063283,500,349.976704
-4104.49143,500,355.406684
-3830.889092,500,360.341007
-3536.223091,500,365.916708
-8089.162081,462,370.410578
-918.282395,43,370.817517
-521.758484,15,370.958086
-5775.482952,413,375.016091
-3883.853722,304,378.020843
-3112.59293,500,383.216994
-8622.043265,500,388.34499
-813.114816,18,388.51265
-3852.01696,500,393.443439
-4651.814871,287,396.315903
-5701.16858,469,401.233176
-1383.897514,66,402.058676
-8491.137769,382,406.126941
-3357.464366,500,410.881433
-6432.485885,500,416.454708
-4071.621508,500,421.57555
-4191.944771,500,426.438936
-3616.113519,500,431.275601
-4433.363329,500,436.117575
-3469.735227,500,440.926833
-4245.488788,382,444.676255
-5176.432479,500,449.826965
-771.430945,29,450.097245
-3118.605161,338,453.427391
-2066.892295,64,454.018787
-6818.269746,500,458.96077
-5042.97018,500,464.580039
-3585.603872,500,469.443045
-1706.381853,118,470.547105
-7116.885158,500,475.375149
-4439.533932,500,480.395783
-3117.050815,500,485.475856
-3539.049014,500,490.302003
-1063.137838,45,490.724786
-3888.847116,500,495.542778
-4456.970612,500,500.426071
-4017.894481,500,505.408406
-3480.003268,500,510.64691
-3207.959951,500,515.351711
-1159.115884,47,515.79345
-4493.532747,500,520.600619
-10660.243399,500,525.827795
-1612.268068,53,526.313058
-3742.829,500,530.996715
-3973.394955,500,535.720798
-2701.822315,275,538.323797
-3224.283512,349,541.869122
-18281.031939,500,546.372344
-5882.599914,463,550.686983
-3162.555501,500,555.400883
-3847.285238,500,560.127136
-1293.771927,335,563.352748
-8257.391923,500,568.004687
-3125.929127,337,571.690107
-4243.353248,500,576.664455
-2424.693522,223,578.741108
-3760.619983,500,584.228858
-990.104654,76,584.953062
-3874.577811,500,589.681878
321.548032,251,592.049098
-3756.55773,500,596.9099
-3384.729362,500,601.658076
-3754.741527,500,606.661217
-525.773219,48,607.113495
-3534.467611,500,611.830047
-921.694073,22,612.034085
750.416145,241,614.318447
-3442.530167,500,619.031064
-3128.982697,500,623.727369
-3013.004619,421,627.683883
-6040.970394,500,632.609046
-839.495744,20,632.891292
