#{"t_start": 1643291651.848132, "env_id": "threecarlanechangeScenario-v0"}
r,l,t
-883.662018,96,2.591541
-539.694061,191,5.480743
-940.461546,106,6.403191
-661.582762,39,6.742558
-672.848757,200,8.507298
-849.175238,96,9.338223
-796.036398,67,9.973859
-866.814798,103,10.869903
-1041.230401,200,12.656284
-1033.58675,137,13.873849
-666.126023,45,14.267642
-939.075977,200,16.089443
-821.461049,200,18.295393
-833.073817,200,20.372441
-832.702582,105,21.27758
-1293.764232,200,23.165688
-758.07109,200,24.962495
-854.279369,200,26.695926
-999.12626,119,27.750816
-850.51398,200,29.492964
-875.330962,74,30.138407
-763.574837,62,30.703878
-636.388398,38,31.036997
-961.792525,200,32.789674
-901.755516,200,34.57504
-846.175381,200,36.75318
-685.93746,49,37.172259
-800.977228,200,38.930716
-858.020751,200,40.664055
-936.700438,200,42.439457
-979.365092,200,44.176734
-903.663256,200,45.966656
-665.624385,45,46.36809
-847.283492,99,47.228395
-893.89045,200,48.990603
-736.68886,200,50.772688
-943.494412,99,51.647
-593.40075,154,52.990207
-886.286292,110,53.98313
-863.390866,200,55.717736
-643.027575,200,57.460786
23.242104,167,58.912974
-779.687663,200,60.739152
-981.053429,200,62.48022
-793.025746,200,64.773192
-832.328748,116,65.782692
32.90866,187,67.890479
-894.326433,200,69.690496
-875.482275,200,71.45277
-771.35097,93,72.25284
-884.785709,200,74.01363
-866.494262,200,75.81645
81.91689,126,77.344073
-640.336824,200,79.468875
-888.613483,115,80.493606
-403.136743,132,81.684303
-876.772276,200,83.4313
-365.994856,169,84.942978
-844.928501,200,86.684298
-916.304811,200,88.476591
-539.729385,12,88.583849
-860.731837,129,89.723529
-893.287888,200,91.479404
-982.737994,200,93.25876
-898.899091,200,95.041073
-624.516234,200,96.848902
-889.58224,200,99.047074
-419.173449,176,100.643371
-744.968285,200,102.418794
-647.171722,200,104.215775
-945.330122,200,105.954354
-813.061321,111,106.967162
199.162793,140,108.223233
-931.061597,200,110.908355
-1020.116125,200,114.143617
-802.756305,200,116.884069
-500,1,116.897035
-845.598099,200,119.225921
-611.971152,200,121.28389
-287.261959,133,122.651529
70.483801,186,124.519109
-754.879763,200,126.547105
-500,1,126.558109
-1040.207928,200,128.581683
-738.069776,200,131.12005
-665.241935,200,133.148605
-800.980687,97,134.139462
-798.755818,200,136.260944
-279.530356,200,138.832802
-824.749693,200,141.297608
-1116.286131,115,142.32566
-787.13961,200,144.071957
-229.749073,187,145.752071
-755.905539,200,147.45147
-951.330004,200,149.243753
-701.620737,200,150.990619
-942.131856,200,152.766202
-553.649832,18,152.920925
-672.019053,200,154.659583
-685.606692,200,156.427049
-656.264621,200,158.181234
-500,1,158.192172
-682.704295,200,160.007085
-565.872399,200,162.179473
64.308187,193,163.967018
-620.740498,200,165.816393
-558.661149,200,167.809678
-379.977996,200,169.842314
-1000.676943,200,171.625807
92.882302,181,173.247575
-671.965953,200,175.026529
-617.079307,26,175.254275
-1029.365662,200,177.070245
-1384.346276,200,178.988277
-786.882867,200,180.783485
-601.212151,200,182.538777
101.163746,192,184.240405
-616.157297,200,185.987911
-519.70207,200,187.760713
-810.618863,200,189.530029
-461.633323,200,191.768025
-397.590678,200,193.981761
-574.026411,200,195.766325
-764.755703,200,198.008613
322.349854,131,199.374949
-801.888074,200,201.184761
-519.359141,200,202.928686
-717.264297,200,204.734844
-668.121627,200,206.485145
-480.130428,200,208.240355
-502.381734,200,209.996377
-502.504177,200,211.790394
-525.057202,200,213.552343
89.544744,186,215.185804
-648.643301,200,216.972173
-157.123779,139,218.183625
309.934376,160,219.645082
-575.365034,200,221.467893
-585.482402,200,223.274065
-1060.444828,124,224.804128
-761.257125,200,226.592365
-606.605118,200,228.407935
-687.387921,200,230.153125
-143.56571,131,231.325876
-637.513744,200,233.092002
-805.34204,200,234.908156
-619.142396,200,236.672559
-680.93358,118,237.700535
-1436.736282,200,239.499477
-870.287915,200,241.242069
-1568.815872,200,243.028661
-1217.935242,200,244.788571
-687.173622,86,245.548364
-781.570964,118,246.600888
-686.691776,39,246.940428
-729.25418,200,248.67517
96.393912,192,250.410069
-827.902564,200,252.634567
-621.944748,200,254.433727
-891.92482,116,255.884459
-623.632584,200,258.103434
-398.441525,173,259.886941
-569.3891,200,261.697533
-715.062996,137,262.935004
-438.102883,119,263.96883
-677.146007,200,265.692108
-859.174943,114,266.7163
-204.158217,146,267.984388
-617.53631,127,269.100849
-273.863706,157,270.531614
-713.193577,200,272.290236
-240.638301,138,273.503843
-495.680198,186,275.162802
-721.192513,200,276.91989
-373.149303,178,278.517243
-373.691913,156,279.888606
-571.301548,200,281.656885
-529.777779,184,283.282603
-724.431478,129,284.413937
-1213.502562,200,286.628139
-510.219327,4,286.666064
-80.340619,138,287.887922
-646.865825,64,288.458686
-378.610786,150,289.811166
-849.960697,145,291.085603
-916.567252,200,292.838472
-372.84745,141,294.133273
-773.591897,200,295.880602
-849.022673,200,297.650634
-1569.268357,200,299.408494
7.178655,135,300.663335
-594.506744,43,301.074364
-1485.831648,200,302.833053
-700.714538,200,304.61518
