#{"t_start": 1642770742.7957847, "env_id": "twocarlanechangeScenario-v0"}
r,l,t
-456.022813,84,2.126312
-844.876328,200,4.113903
-897.214492,200,6.224258
-618.688158,134,7.212586
-726.744649,200,8.677611
-508.395606,98,9.519589
-780.99592,200,10.98769
-771.90361,200,12.437455
-945.666278,200,14.019664
-841.76662,200,15.500337
-919.620532,200,17.088268
-990.099071,200,18.534503
-901.704132,200,20.021091
-920.119273,200,21.604009
-356.980529,69,22.11516
-864.753539,200,23.592387
-833.669624,200,25.167399
-806.869656,200,26.620872
-342.718893,62,27.089967
-828.990768,200,28.562942
-922.119763,200,30.140031
-562.304336,115,30.993009
-573.019751,151,32.094296
-932.268575,200,33.673375
-937.841514,200,35.15347
-883.801843,200,36.622742
-499.69727,107,37.52381
-997.0728,200,38.993136
-995.31503,200,40.469645
-360.584584,62,41.049729
-870.161621,200,42.528261
-891.995915,200,44.012896
-915.375243,200,45.623637
-991.106808,200,47.138771
-875.933893,200,49.024729
-831.958089,200,50.779994
-862.797891,200,52.458649
-526.152895,103,53.252757
-895.36474,200,54.726777
-896.839281,200,56.311048
-959.793184,200,57.805222
-57.389051,184,59.271988
-893.874118,200,60.727886
-921.228178,200,62.3087
-912.847041,200,64.160774
-606.549096,166,65.770641
-329.29085,62,66.748029
-884.89374,200,68.572823
-786.713889,200,70.437316
-500.666675,107,71.315379
-893.855014,200,72.822682
-961.879143,200,74.458516
-361.633142,87,75.196544
-904.109135,200,76.973782
-865.771097,200,78.931785
-511.459042,162,80.271425
-903.419495,200,82.00917
-803.315487,200,83.627361
-799.204954,200,85.24299
-847.84279,200,86.937304
-176.316974,23,87.166691
-903.36368,200,89.09771
-878.039874,200,90.775162
-885.937722,200,92.25207
-1017.207788,200,93.762389
-831.727836,200,95.240551
-840.165893,200,96.734949
-867.457361,200,98.229368
-801.507199,200,99.707621
-949.23139,200,101.175119
-893.025273,200,102.639564
-267.385039,50,103.009509
-662.531805,162,104.201759
-825.505849,200,105.666417
-863.475416,200,107.126384
-828.535468,200,108.934196
-783.948136,200,110.635648
-850.934173,200,112.121766
-814.413413,200,113.578043
-751.031319,200,115.049412
-737.433132,200,116.508265
