#{"t_start": 1642538917.1624146, "env_id": "lanechangeScenario-v0"}
r,l,t
-105.700108,85,2.214525
-99.242886,86,2.685335
-98.456919,143,4.371566
-97.456685,69,4.61954
-101.819879,50,5.221025
-99.010708,64,5.468532
-29.67484,400,8.473502
-99.63469,101,9.143719
-63.344255,400,11.549561
1.11274,400,14.070909
113.014431,202,15.24208
-105.59752,104,16.175586
-3.820713,400,18.655026
-103.372729,55,18.782009
245.238627,258,20.470415
91.024119,238,21.890984
91.055746,225,23.2078
-86.745996,400,26.183757
97.924045,238,27.796484
166.897665,390,30.077047
156.383002,292,31.441953
146.17782,174,32.529132
120.818839,181,33.632137
116.309755,311,35.837623
127.22364,200,37.293773
132.241851,209,38.558918
140.758212,163,39.614345
133.806451,203,40.933072
235.289216,361,43.270154
180.54399,174,44.009321
107.20655,228,45.544363
245.935709,333,47.469852
144.54126,148,48.281013
179.985762,180,49.835002
260.390037,359,52.710804
270.256183,332,54.946543
114.23794,151,56.419067
70.745773,400,58.940463
141.267647,149,59.626656
-9.094281,400,61.931913
-44.115387,400,64.222187
107.91556,131,64.855021
114.447369,145,65.874981
