#{"t_start": 1642538009.808362, "env_id": "lanechangeScenario-v0"}
r,l,t
-102.967594,16,2.605271
-114.09527,76,2.906007
-105.513081,32,3.021878
-113.538418,50,3.222746
-116.611537,90,3.52282
-107.484251,36,3.654307
-115.03014,89,4.008408
-105.640319,22,4.102143
-85.029749,400,5.50519
-113.836216,74,5.774687
-114.372569,83,6.028553
-47.044984,400,7.648116
-64.872722,400,8.666271
-27.896636,400,9.715669
-111.02304,42,9.800351
-18.854996,400,10.72461
-111.798752,292,11.388497
-110.292094,108,11.642381
-89.400831,137,12.059127
-65.042696,400,12.992645
-34.353424,400,13.910583
713.20134,235,14.549547
-111.055213,48,14.665414
-55.604657,400,15.583206
-11.611052,400,16.516997
-19.068107,400,17.541912
383.10304,231,18.090252
-29.396405,400,18.992428
-48.207668,400,20.026191
141.538173,400,20.950634
-51.862208,400,21.968912
102.912257,400,22.871066
856.046564,280,23.51995
465.348909,400,24.538193
65.933608,400,25.456297
57.295799,400,26.380448
-106.745239,26,26.442962
765.26415,303,27.267177
-118.762824,107,27.49897
-116.135818,235,28.047242
-116.886834,131,28.348091
-108.284787,42,28.443904
46.71093,400,29.487888
-21.556969,400,30.421389
-106.352154,45,30.521642
-116.160252,74,30.753381
645.735558,207,31.323504
-28.556185,400,32.341892
-137.330008,399,33.26205
-105.437169,22,33.312966
-8.46198,400,34.331309
-124.641713,243,34.901748
-115.316274,53,35.017618
-123.547969,239,35.565444
-114.714385,102,35.803814
-106.330672,26,35.866273
152.940241,400,36.891223
689.004696,400,37.809153
-49.118895,400,38.727076
-38.004669,400,39.767945
655.35126,171,40.171212
36.728435,400,41.080162
-126.986675,242,41.73461
-56.690613,400,42.652796
-65.065472,400,43.570508
720.021883,307,44.388221
73.41055,400,45.307754
49.816353,400,46.215193
-105.512125,30,46.293332
-71.376613,400,47.33352
-90.505978,400,48.250898
588.860098,183,48.667624
-102.067697,10,48.698867
620.26723,278,49.438469
598.315342,307,50.156061
613.920997,384,51.058285
1829.635459,400,52.10765
-35.684299,400,53.010036
115.965389,146,53.357281
575.731206,157,53.711411
550.114494,168,54.212363
642.152356,180,54.613428
901.992116,359,55.437479
468.107913,400,56.455765
620.310757,206,56.941436
658.609262,278,57.574247
570.573008,141,57.890597
629.036567,274,58.523474
579.008244,177,59.024799
93.301426,400,59.94908
630.043353,266,60.550662
-42.588693,400,61.884936
612.661625,236,62.64922
589.038758,241,63.435387
615.047054,257,64.136515
615.778614,266,64.876185
-56.740464,400,65.793908
606.00093,166,66.179306
-106.512548,31,66.257411
-108.114473,64,66.395463
-106.437099,34,66.480113
691.933149,276,67.21539
647.928373,286,67.883541
-111.48248,47,67.983829
-105.902072,23,68.046312
609.304923,214,68.531447
-115.955806,104,68.785413
617.448954,225,69.302202
-106.347196,60,69.433707
603.216749,181,69.950671
-106.434474,44,70.050975
590.972699,221,70.567891
634.380416,326,71.307454
586.263303,332,72.172118
605.81174,347,72.974194
632.056144,237,73.51328
605.133028,231,74.045892
616.727064,221,74.647392
601.878298,261,75.25419
601.618085,302,75.950597
-108.150668,45,76.0509
591.259491,254,76.636955
624.127027,245,77.307437
-111.713333,73,77.470198
603.057318,194,77.924726
-105.490517,34,78.009339
582.11681,188,78.425984
598.016217,295,79.112181
573.445643,318,79.945637
603.713086,319,80.69392
577.177436,178,81.101549
610.745355,172,81.502213
603.223886,267,82.219781
617.753331,276,82.852808
590.19791,320,83.63912
618.412908,186,84.071425
-108.440576,38,84.156143
626.436939,237,84.811032
581.288167,233,85.358898
573.870818,267,85.991732
561.037067,271,86.615554
592.695803,237,87.263854
574.164688,314,88.012284
-109.425414,44,88.112592
576.467508,292,88.782849
581.085057,343,89.669502
591.701188,179,90.086125
573.166225,166,90.502782
586.476863,178,90.903843
577.631401,207,91.38945
562.686993,141,91.705907
529.7992,393,92.708606
220.277375,200,93.163074
316.808426,231,93.69527
551.529728,134,94.011743
582.525372,251,94.697929
580.87129,247,95.255762
570.970594,248,95.831695
527.505673,378,96.702843
573.612011,177,97.221248
553.200805,166,97.605136
564.272319,184,98.021826
576.197575,220,98.523158
569.996447,197,98.977665
553.425021,151,99.425418
577.936646,252,100.011378
569.675162,162,100.381261
586.241896,185,100.81355
582.465258,148,101.15222
571.216901,203,101.607802
564.7638,240,102.285491
558.78498,155,102.632761
576.994843,216,103.134097
564.071531,278,103.773108
561.218261,190,104.305636
582.422082,195,104.760072
559.319727,198,105.225081
570.785573,168,105.608841
566.446979,168,105.994334
559.109102,171,106.411027
562.315651,181,107.02817
556.051501,152,107.515869
563.593034,174,108.190993
557.104681,184,108.999216
-104.3127,34,109.115079
550.405433,240,109.731972
566.768298,152,110.270954
552.653595,204,110.819083
550.796145,255,111.620991
547.911496,124,111.990724
551.289203,131,112.36044
567.760034,147,112.708076
564.511959,187,113.309486
572.831692,194,113.764061
569.185598,211,114.265044
573.333354,156,114.612776
566.076632,225,115.129721
568.952577,214,115.731081
571.283854,217,116.232441
557.127746,135,116.548548
550.420661,250,117.118885
550.456863,239,117.673455
-108.624841,33,117.751568
566.536169,225,118.375261
553.515551,249,118.954754
561.084596,167,119.34022
556.048661,145,119.67877
-108.959176,33,119.756884
550.897996,211,120.24261
564.084174,148,120.681442
547.637988,215,121.198411
549.673622,146,121.64615
572.206109,181,122.232009
547.595693,257,123.049196
545.068516,136,123.504711
543.016875,215,124.288803
569.572522,167,124.783519
558.505573,245,125.553887
566.204618,220,126.208731
544.191221,282,127.010687
556.188246,164,127.495932
567.80169,204,128.159902
577.629179,171,128.676512
560.161854,159,129.093138
562.54256,192,129.616614
559.673194,208,130.364748
556.243385,195,130.950582
555.321923,216,131.536311
573.734393,143,131.868313
552.924716,186,132.353964
562.579833,175,132.986669
570.319354,186,133.656597
570.846106,175,134.201441
559.728593,164,134.602355
567.935137,152,135.097075
554.866157,156,135.620394
552.310245,209,136.384279
